央视频道,#genre#
天元围棋,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/tywq.m3u8?$720x576
摄影频道,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/sy.m3u8?$720x576
嘉佳卡通,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jjkt.m3u8?$720x576

四川地方,#genre#

四川文化旅游,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/SCTV-2-H265.m3u8?$1920x1080
四川经济,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/SCTV-3-H265.m3u8?$1920x1080
四川新闻资讯,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/SCTV-4H265.m3u8?$1920x1080
四川影视文艺,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/SCTV-5-scysH265.m3u8?$1920x1080
四川妇女儿童,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/SCTV-7-.m3u8?$1920x1080
四川科教,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/SCTV-ggSCTV-8.m3u8?$1920x1080
四川乡村,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/SCTV-kjSCTV-9-.m3u8?$1920x1080
四川峨嵋电影,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/emdygqH265.m3u8?$1920x1080
精品导视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jpdsH265.m3u8?$1920x1080
川网导视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/cwdsHDH264.m3u8?$1920x1080
川广融媒,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/cgrh.m3u8?$720x576

成都新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CDTV-1.m3u8?$1920x1080
成都经济资讯,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CDTV-2.m3u8?$720x576
成都都市生活,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/CDTV-3.m3u8?$720x576
