央视,#genre#
河南电视剧,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226521/index.m3u8?servicetype=1
河南移动电视,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226871/index.m3u8?servicetype=1

综合,#genre#
金鹰纪实,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226349/index.m3u8?servicetype=1
金鹰纪实,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226668/index.m3u8?servicetype=1
金鹰卡通,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226413/index.m3u8?servicetype=1
金鹰卡通,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226624/index.m3u8?servicetype=1
金鹰卡通,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227210/index.m3u8?servicetype=1
快乐垂钓,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226326/index.m3u8?servicetype=1
快乐垂钓,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226670/index.m3u8?servicetype=1
茶频道,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226329/index.m3u8?servicetype=1
茶频道,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226647/index.m3u8?servicetype=1
国学频道,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226493/index.m3u8?servicetype=1
国学频道,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226629/index.m3u8?servicetype=1
健康中原,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221227110/index.m3u8?servicetype=1
睛彩中原,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226445/index.m3u8?servicetype=1
睛彩中原,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226589/index.m3u8?servicetype=1
文博,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226447/index.m3u8?servicetype=1
文博,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226638/index.m3u8?servicetype=1
功夫,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226440/index.m3u8?servicetype=1
功夫,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226692/index.m3u8?servicetype=1
乐游,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226335/index.m3u8?servicetype=1
乐游,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226536/index.m3u8?servicetype=1
求索纪录,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226114/index.m3u8?servicetype=1
求索科学,http://[2409:8087:441a:20:101:211:601:6]:6610/PLTV/88888888/224/3221226115/index.m3u8?servicetype=1
